name,rho,abs_rho
c3_topt,-0.7707736363953054,0.7707736363953054
tree_pmax,0.7345306269426425,0.7345306269426425
tree_lue,0.6970983692219327,0.6970983692219327
soil_sr_hi,-0.6409570235777978,0.6409570235777978
tree_rmf0,0.6374799070668575,0.6374799070668575
c3_albedo,-0.6358549483187563,0.6358549483187563
over_acen_ko,-0.5994452688120221,0.5994452688120221
over_nc_ct,-0.5741507808918607,0.5741507808918607
c3_f_sz_r,-0.5739874781889384,0.5739874781889384
under_gss_b2,0.5584645293764904,0.5584645293764904
c3_lc0,0.5525025301685647,0.5525025301685647
tree_qtr0,-0.5462713503802118,0.5462713503802118
c3_f_sz_s,-0.5459054366037477,0.5459054366037477
tree_rgr,-0.5405797757235767,0.5405797757235767
c3_lf0,0.5295631405464937,0.5295631405464937
c4_kmci,0.5252427131222293,0.5252427131222293
c3_qtr0,-0.5238845089737484,0.5238845089737484
c3_gs_b2,-0.5237550907493417,0.5237550907493417
tree_rgc,-0.5119398062345072,0.5119398062345072
over_hc_et,0.5049703745539412,0.5049703745539412
tree_sla,0.49466156127217636,0.49466156127217636
c3_sla,-0.4871232407925174,0.4871232407925174
over_scttr,0.4660758099671675,0.4660758099671675
tree_albedo,0.4536025337936071,0.4536025337936071
c3_km_nstl,0.44357901802818167,0.44357901802818167
tree_root_spt_b,-0.43412841019754195,0.43412841019754195
c3_root_spt_a,0.4330274413149179,0.4330274413149179
tree_ctmp_lfdsp,0.4139472363101396,0.4139472363101396
tree_cmpcd0,-0.41327648351202784,0.41327648351202784
c3_cmpcd0,0.4129982615520565,0.4129982615520565
over_gss_b1,0.4036023891659929,0.4036023891659929
c3_tmax,0.4029217211763727,0.4029217211763727
soil_albedo0,-0.3931055130158866,0.3931055130158866
c3_alloc_abg,0.3756951968355099,0.3756951968355099
c3_kmci,0.37137059783265886,0.37137059783265886
tree_rmc_s,-0.37129763286851153,0.37129763286851153
tree_rmr_h,0.34711658418851365,0.34711658418851365
soil_sr_lc,-0.3222669793775973,0.3222669793775973
c3_pmax,0.3201166985400863,0.3201166985400863
tree_alloc_abg,-0.31521686439120317,0.31521686439120317
soil_kml,0.31348541031591454,0.31348541031591454
tree_rgf,-0.31247975081881885,0.31247975081881885
c3_lue,0.31244462610531276,0.31244462610531276
c3_rgr,0.31181737084247413,0.31181737084247413
soil_f_co2_lf,0.3113287526406797,0.3113287526406797
tree_rmc_h,-0.30910874797620624,0.30910874797620624
over_jvr,0.3022197812115715,0.3022197812115715
c3_rmr_h,-0.298410758891937,0.298410758891937
c3_tmin,0.28677872626231893,0.28677872626231893
tree_lf0,-0.28470057879054517,0.28470057879054517
soil_kmsh,0.2752112197543953,0.2752112197543953
over_rfl_d,0.264896694474336,0.264896694474336
soil_f_hm_p,0.2521761117955941,0.2521761117955941
tree_topt,-0.24505676970554438,0.24505676970554438
over_cv_p,-0.23597738575224178,0.23597738575224178
soil_f_co2_lr,-0.23393290133212194,0.23393290133212194
tree_gs_b0,0.2313939273090675,0.2313939273090675
over_cv_j,0.2206389854146471,0.2206389854146471
tree_kmci,0.2110507073412521,0.2110507073412521
tree_dcd,-0.21080852586518994,0.21080852586518994
c3_ek0,0.21028712855882356,0.21028712855882356
c4_cmpcd0,0.2092232678053205,0.2092232678053205
soil_f_hm_i,-0.20866998127457598,0.20866998127457598
c3_root_spt_b,0.20695545736663812,0.20695545736663812
tree_qtf0,0.20519667670299782,0.20519667670299782
tree_lc0,0.20482062086784864,0.20482062086784864
tree_ctmp_lfshd,0.20474221827375905,0.20474221827375905
over_acen_kc,0.19883457538994753,0.19883457538994753
over_str_et,-0.19440277377460213,0.19440277377460213
over_ke_n,-0.19235118142778607,0.19235118142778607
soil_sr_hp,-0.18715538863741427,0.18715538863741427
soil_sr_lr,0.18591128426096765,0.18591128426096765
soil_kmsl,-0.18559006807815764,0.18559006807815764
over_kc0,0.184606004034531,0.184606004034531
c3_rgf,-0.183151909542136,0.183151909542136
over_gss_b0,-0.17783399465510696,0.17783399465510696
soil_sr_ha,0.17586598109645069,0.17586598109645069
tree_lr0,0.16766773452571854,0.16766773452571854
tree_gs_b1,-0.15535514345850648,0.15535514345850648
tree_tmin,0.15064324424375564,0.15064324424375564
c3_rmc_s,-0.1397118662426545,0.1397118662426545
under_nc_ct,0.13678053239679142,0.13678053239679142
soil_sr_lf,0.12886973538873728,0.12886973538873728
tree_f_sz_s,0.125329550994079,0.125329550994079
over_acen_vc,0.1198865043336901,0.1198865043336901
soil_kmh,0.10726380238645743,0.10726380238645743
tree_qtc0,-0.1050712629769841,0.1050712629769841
soil_f_co2_lc,-0.09715720782124637,0.09715720782124637
tree_ek0,-0.09095331577949015,0.09095331577949015
under_gss_b0,0.08933063635947167,0.08933063635947167
c3_rmr_s,0.08720396754672331,0.08720396754672331
tree_km_nstl,0.0870732681250751,0.0870732681250751
over_spect,-0.08576800272375171,0.08576800272375171
tree_gs_b2,0.07669211220551919,0.07669211220551919
tree_f_sz_r,-0.07412965373823058,0.07412965373823058
c3_gs_b0,0.07311263872025317,0.07311263872025317
over_gss_b2,0.07070744549857266,0.07070744549857266
c3_ctmp_lfshd,-0.06930633686221743,0.06930633686221743
tree_root_spt_a,0.06449500294791097,0.06449500294791097
over_ko0,0.05429149991909989,0.05429149991909989
c3_lr0,0.05008771252866472,0.05008771252866472
c3_rmf0,-0.047327610414636345,0.047327610414636345
over_acen_et,0.04168221796111447,0.04168221796111447
under_gss_b1,0.03853306434945418,0.03853306434945418
c3_qtf0,0.03535644687618645,0.03535644687618645
c3_rmc_h,0.02770201749191766,0.02770201749191766
soil_f_hm_a,-0.02732074887573499,0.02732074887573499
tree_rmr_s,0.022340022189454942,0.022340022189454942
over_photocap_n0,-0.02032442937976974,0.02032442937976974
c3_qtc0,0.018275957745616973,0.018275957745616973
tree_tmax,0.0175282656288346,0.0175282656288346
over_ke_d,0.011883496446733885,0.011883496446733885
c3_rgc,0.008546960578755664,0.008546960578755664
c3_gs_b1,0.006379650789463845,0.006379650789463845
c3_ctmp_lfdsp,0.0006010955263199371,0.0006010955263199371
